id;company_number;company_name;website;status
1;brand Soap Generic;Islands;tan facilitate;Yemeni
2;calculating;paradigms parse;Syrian out-of-the-box;Sleek Sports
3;Specialist;Loan transition calculating;Central;Vermont
4;Handcrafted Springs;Infrastructure digital port;Buckinghamshire transmitting matrix;1080p
5;Rubber;payment New;Gibraltar Lempira;Stream holistic proactive
6;Buckinghamshire coherent;viral;Investor;schemas Officer intangible
7;Organic;Assimilated content;Highway SMTP;SQL Toys connect
8;Electronics SSL;facilitate capacitor silver;Quality;Frozen
9;olive optimal input;user-centric Analyst Gourde;Concrete connect orchid;blue
10;Quetzal Fuerte;Games RSS;Vietnam Metal white;dot-com grow Washington
